Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,python_yn,R_yn,spark,aws,excel
Senior Data Scientist,$130K - $173K (Glassdoor est.),"Senior Data Scientist will work in the Analytics Department of Southeast Toyota Finance (SETF), a division of JM Family Enterprises, and will be responsible for……
Skills: Power BI, SAS, R, Machine learning, Predictive analytics",3.6,JM Family Enterprises,"Deerfield Beach, FL",1001 to 5000 Employees,0,0,130,173,151.5,Deerfield Beach,0,0,0,0,0
Data Scientist,$91K - $152K (Glassdoor est.),"Provides technical support in the evaluation of prime object names, data elements, and other objects. Founded in 2010, Sev1Tech provides IT, engineering, and……",4.4,Sev1Tech,"Fort Belvoir, VA",501 to 1000 Employees,0,0,91,152,121.5,Fort Belvoir,0,0,0,0,0
AIML Data Scientist,$76K - $186K (Employer est.),"Bachelor's degree in computer science or related field. 8+ years of progressive hands-on experience in AI/ML application development with 5-6 years of AI/ML……
Skills: Writing skills, Information security, Application development, AWS, Presentation skills",3.8,"CGI Group, Inc.","Bloomfield, CT",10000+ Employees,0,0,76,186,131.0,Bloomfield,0,0,0,1,0
Sr. Data Analyst (Dallas),$67K - $91K (Glassdoor est.),"Advanced proficiency in data science and statistical analysis tools such as Python or R. Proficiency in data science and statistical analysis tools such as……
Skills: Microsoft Powerpoint, Microsoft Excel, Management, R, Alteryx",3.2,JSX,"Dallas, TX",501 to 1000 Employees,0,0,67,91,79.0,Dallas,1,0,0,0,1
Data Scientist,$125K - $180K (Employer est.),"You will collaborate closely with our engineering, product, design, and customer-facing teams to develop, maintain, and enhance our risk assessment and……
Skills: CI/CD, Statistics, Git, Machine learning, Organizational skills",2.7,Resilience,"Baltimore, MD",1001 to 5000 Employees,0,0,125,180,152.5,Baltimore,0,0,0,0,0
Data Scientist,$137K - $229K (Glassdoor est.),"An advanced degree (Master's or Ph.D.) in computer science, data science, machine learning, or a related field is highly preferred.…
Skills: TensorFlow, R, Statistical analysis, Machine learning, Data science",,Pashtek,"San Francisco, CA",Unknown,0,0,137,229,183.0,San Francisco,0,0,0,0,0
Staff Data Scientist,$142K - $207K (Glassdoor est.),"Perform statistical and subpopulation analysis on sensor and clinical data collected from clinical trials. Familiarity with cloud computing platforms and tools.…
Skills: MATLAB, Management, Signal processing, R, Data analysis skills",3.0,Cardiosense,"Chicago, IL",1 to 50 Employees,0,0,142,207,174.5,Chicago,0,0,0,0,0
Data Scientist,$94K - $143K (Glassdoor est.),"Develop and implement practical strategies for measuring performance of models and processes, to include development of performance measures, design of……
Skills: Microsoft Powerpoint, Qualitative research, Tableau, Change management, Analysis skills",3.9,Orbis Operations Management Company,"McLean, VA",201 to 500 Employees,0,0,94,143,118.5,McLean,0,0,0,0,0
Data Scientist,$80K - $145K (Employer est.),"The primary focus of this role is to provide technical expertise: helping to execute on complex analytics across a wide variety of often fast-paced client……
Skills: Microsoft Powerpoint, TensorFlow, CI/CD, Microsoft Excel, Azure",3.7,L.E.K. Consulting,"Boston, MA",1001 to 5000 Employees,0,0,80,145,112.5,Boston,0,0,0,0,1
Machine Learning Engineer/Data Scientist,$135K - $251K (Employer est.),"Master's or PhD in statistics, econometrics, operations research, applied physics, engineering, or a related quantitative field.…
Skills: System design, Analysis skills, Machine learning, A/B testing, AI",4.2,Adobe,"San Jose, CA",10000+ Employees,0,0,135,251,193.0,San Jose,0,0,0,0,0
Data Scientist,$104K - $137K (Glassdoor est.),"Ph.D. in Data Science, Computational Biology, Biomedical Engineering, or related scientific field or equivalent experience in technical analysis.…
Skills: Writing skills, Analysis skills, Data science, AI, Leadership",4.4,MIT Lincoln Laboratory,"Lexington, MA",1001 to 5000 Employees,0,0,104,137,120.5,Lexington,0,0,0,0,0
Senior Scientist Research Computing - Data Scientist (Biomedical and Clinical Informatics),$108K - $158K (Employer est.),"In partnership with the research community and other biomedical and clinical informatics specialists, the successful candidate will manage and analyze data……
Skills: TensorFlow, SAS, Software deployment, R, Data analysis skills",4.1,Rutgers University,"Piscataway, NJ",10000+ Employees,0,0,108,158,133.0,Piscataway,0,0,0,0,0
Staff Data Scientist,$175K - $242K (Employer est.),"As a Data Scientist, you'll leverage technical and business acumen to become an expert in our models and how the models interact with the business.…
Skills: R, SQL, Machine learning, Regression analysis, Predictive analytics",3.5,Upstart,"San Mateo, CA",1001 to 5000 Employees,0,0,175,242,208.5,San Mateo,0,0,0,0,0
